date,open,high,low,close,volume
2024-01-02 00:00:00,21751.35,21755.60,21555.65,21665.80,0.00
2024-01-03 00:00:00,21661.10,21677.00,21500.35,21517.35,0.00
2024-01-04 00:00:00,21605.80,21685.65,21564.55,21658.60,0.00
2024-01-05 00:00:00,21705.75,21749.60,21629.20,21710.80,0.00
2024-01-08 00:00:00,21747.60,21763.95,21492.90,21513.00,0.00
2024-01-09 00:00:00,21653.60,21724.45,21517.85,21544.85,0.00
2024-01-10 00:00:00,21529.30,21641.85,21448.65,21618.70,0.00
2024-01-11 00:00:00,21688.00,21726.50,21593.75,21647.20,0.00
2024-01-12 00:00:00,21773.55,21928.25,21715.15,21894.55,0.00
2024-01-15 00:00:00,22053.15,22115.55,21963.55,22097.45,0.00
2024-01-16 00:00:00,22080.50,22124.15,21969.80,22032.30,0.00
2024-01-17 00:00:00,21647.25,21851.50,21550.45,21571.95,0.00
2024-01-18 00:00:00,21414.20,21539.40,21285.55,21462.25,0.00
2024-01-19 00:00:00,21615.20,21670.60,21575.00,21622.40,0.00
2024-01-20 00:00:00,21706.15,21720.30,21541.80,21571.80,0.00
2024-01-23 00:00:00,21716.70,21750.25,21192.60,21238.80,0.00
2024-01-24 00:00:00,21185.25,21482.35,21137.20,21453.95,0.00
2024-01-25 00:00:00,21454.60,21459.00,21247.05,21352.60,0.00
2024-01-29 00:00:00,21433.10,21763.25,21429.60,21737.60,0.00
2024-01-30 00:00:00,21775.75,21813.05,21501.80,21522.10,0.00
2024-01-31 00:00:00,21487.25,21741.35,21448.85,21725.70,0.00
2024-02-01 00:00:00,21780.65,21832.95,21658.75,21697.45,0.00
2024-02-02 00:00:00,21812.75,22126.80,21805.55,21853.80,0.00
2024-02-05 00:00:00,21921.05,21964.30,21726.95,21771.70,0.00
2024-02-06 00:00:00,21825.20,21951.40,21737.55,21929.40,0.00
2024-02-07 00:00:00,22045.05,22053.30,21860.15,21930.50,0.00
2024-02-08 00:00:00,22009.65,22011.05,21665.30,21717.95,0.00
2024-02-09 00:00:00,21727.00,21804.45,21629.90,21782.50,0.00
2024-02-12 00:00:00,21800.80,21831.70,21574.75,21616.05,0.00
